User_ID,Age,Gender,Platform,Daily_Usage_Time,Posts_Per_Day,Likes_Received_Per_Day,Comments_Received_Per_Day,Messages_Sent_Per_Day,Dominant_Emotion,Emotion_Category,Platform_Category
1,25,Female,Instagram,120,3,45,10,12,Happiness,positive,Social Networking Platforms
2,30,Male,Twitter,90,5,20,25,30,Anger,negative,Hybrid Platforms
3,22,Non-binary,Facebook,60,2,15,5,20,Neutral,neutral,Social Networking Platforms
4,28,Female,Instagram,200,8,100,30,50,Anxiety,negative,Social Networking Platforms
5,33,Male,LinkedIn,45,1,5,2,10,Boredom,neutral,Hybrid Platforms
6,21,Male,Instagram,150,4,60,15,25,Happiness,positive,Social Networking Platforms
7,27,Female,Twitter,85,3,30,10,18,Anger,negative,Hybrid Platforms
8,24,Non-binary,Facebook,110,6,25,12,22,Sadness,negative,Social Networking Platforms
9,29,Female,LinkedIn,55,2,10,3,8,Neutral,neutral,Hybrid Platforms
10,31,Male,Instagram,170,5,80,20,35,Happiness,positive,Social Networking Platforms
11,23,Female,Twitter,75,4,35,7,20,Anxiety,negative,Hybrid Platforms
12,26,Non-binary,Facebook,95,3,20,10,18,Sadness,negative,Social Networking Platforms
13,34,Male,LinkedIn,65,1,12,4,15,Boredom,neutral,Hybrid Platforms
14,22,Female,Instagram,180,7,90,25,40,Happiness,positive,Social Networking Platforms
15,28,Male,Twitter,100,6,40,23,28,Anger,negative,Hybrid Platforms
16,21,Non-binary,Facebook,40,1,5,2,10,Neutral,neutral,Social Networking Platforms
17,35,Female,Instagram,125,4,55,18,30,Anxiety,negative,Social Networking Platforms
18,27,Male,Twitter,90,3,33,15,25,Sadness,negative,Hybrid Platforms
19,23,Non-binary,LinkedIn,50,1,8,3,12,Neutral,neutral,Hybrid Platforms
20,32,Female,Instagram,140,5,70,22,33,Happiness,positive,Social Networking Platforms
21,26,Male,Facebook,75,2,25,10,18,Anxiety,negative,Social Networking Platforms
22,24,Female,Twitter,105,4,28,14,20,Anger,negative,Hybrid Platforms
23,29,Male,LinkedIn,60,2,11,5,17,Boredom,neutral,Hybrid Platforms
24,33,Non-binary,Instagram,190,8,95,26,45,Happiness,positive,Social Networking Platforms
25,22,Female,Twitter,70,3,20,12,15,Sadness,negative,Hybrid Platforms
26,31,Male,Facebook,80,2,18,8,21,Neutral,neutral,Social Networking Platforms
27,27,Non-binary,LinkedIn,55,1,9,2,11,Anxiety,negative,Hybrid Platforms
28,25,Female,Instagram,160,6,85,19,32,Happiness,positive,Social Networking Platforms
29,30,Male,Twitter,90,4,38,17,24,Anger,negative,Hybrid Platforms
30,26,Non-binary,Facebook,45,1,6,3,10,Sadness,negative,Social Networking Platforms
31,34,Female,LinkedIn,65,2,13,4,14,Boredom,neutral,Hybrid Platforms
32,28,Male,Instagram,145,5,75,20,35,Happiness,positive,Social Networking Platforms
33,23,Non-binary,Twitter,70,3,27,11,18,Neutral,neutral,Hybrid Platforms
34,21,Female,Instagram,130,6,88,15,30,Sadness,negative,Social Networking Platforms
35,29,Male,Facebook,65,2,22,8,20,Anxiety,negative,Social Networking Platforms
36,24,Non-binary,LinkedIn,55,1,10,5,11,Boredom,neutral,Hybrid Platforms
37,33,Female,Instagram,170,7,90,25,40,Happiness,positive,Social Networking Platforms
38,27,Male,Twitter,85,4,35,15,20,Anger,negative,Hybrid Platforms
39,22,Female,Instagram,115,3,55,12,25,Neutral,neutral,Social Networking Platforms
40,28,Non-binary,Facebook,100,2,18,10,22,Anxiety,negative,Social Networking Platforms
41,31,Male,LinkedIn,45,1,6,2,9,Sadness,negative,Hybrid Platforms
42,25,Female,Instagram,150,6,80,18,30,Happiness,positive,Social Networking Platforms
43,29,Male,Twitter,95,4,40,20,22,Anger,negative,Hybrid Platforms
44,23,Non-binary,Facebook,105,2,20,8,18,Neutral,neutral,Social Networking Platforms
45,35,Female,LinkedIn,60,1,12,5,14,Boredom,neutral,Hybrid Platforms
46,30,Male,Instagram,175,7,85,23,38,Happiness,positive,Social Networking Platforms
47,21,Female,Twitter,90,3,33,12,20,Sadness,negative,Hybrid Platforms
48,26,Non-binary,Facebook,75,2,28,11,18,Anxiety,negative,Social Networking Platforms
49,32,Male,Instagram,130,5,70,19,31,Neutral,neutral,Social Networking Platforms
50,28,Female,LinkedIn,55,1,8,4,10,Boredom,neutral,Hybrid Platforms
51,27,Male,Instagram,165,6,78,22,27,Happiness,positive,Social Networking Platforms
52,24,Female,Twitter,75,3,29,15,19,Anger,negative,Hybrid Platforms
53,29,Non-binary,Facebook,85,2,25,7,20,Neutral,neutral,Social Networking Platforms
54,33,Female,Instagram,145,4,60,18,35,Sadness,negative,Social Networking Platforms
55,31,Male,LinkedIn,60,1,10,3,17,Anxiety,negative,Hybrid Platforms
56,22,Female,Whatsapp,70,2,40,8,21,Anxiety,negative,Private Communication Platforms
57,25,Male,Telegram,90,3,20,10,22,Boredom,neutral,Private Communication Platforms
58,29,Non-binary,Snapchat,50,2,15,5,18,Sadness,negative,Private Communication Platforms
59,28,Female,Twitter,95,4,45,20,25,Happiness,positive,Hybrid Platforms
60,27,Male,Facebook,60,1,10,4,15,Boredom,neutral,Social Networking Platforms
61,30,Female,Instagram,175,6,70,23,33,Happiness,positive,Social Networking Platforms
62,23,Male,Whatsapp,70,3,20,8,18,Anger,negative,Private Communication Platforms
63,34,Non-binary,Telegram,80,2,18,7,20,Neutral,neutral,Private Communication Platforms
64,26,Female,Snapchat,120,4,50,15,30,Anxiety,negative,Private Communication Platforms
65,25,Male,Twitter,90,6,40,12,26,Sadness,negative,Hybrid Platforms
66,29,Non-binary,Facebook,60,1,8,2,12,Boredom,neutral,Social Networking Platforms
67,28,Male,Instagram,165,5,75,18,35,Happiness,positive,Social Networking Platforms
68,31,Female,Whatsapp,65,2,25,8,20,Neutral,neutral,Private Communication Platforms
69,27,Male,Telegram,105,3,45,15,28,Anxiety,negative,Private Communication Platforms
70,22,Non-binary,Snapchat,75,2,18,6,20,Sadness,negative,Private Communication Platforms
71,24,Female,Instagram,140,4,60,18,30,Happiness,positive,Social Networking Platforms
72,35,Male,Twitter,70,1,12,7,10,Boredom,neutral,Hybrid Platforms
73,21,Non-binary,Facebook,55,3,15,5,12,Neutral,neutral,Social Networking Platforms
74,29,Female,Whatsapp,90,2,20,9,22,Anger,negative,Private Communication Platforms
75,25,Male,Telegram,80,4,28,11,25,Neutral,neutral,Private Communication Platforms
76,28,Non-binary,Snapchat,115,3,36,12,27,Anxiety,negative,Private Communication Platforms
77,32,Female,Instagram,155,6,72,20,38,Happiness,positive,Social Networking Platforms
78,26,Male,Twitter,75,2,22,10,18,Sadness,negative,Hybrid Platforms
79,33,Non-binary,Facebook,65,1,12,5,14,Anxiety,negative,Social Networking Platforms
80,27,Female,Whatsapp,90,4,35,14,20,Neutral,neutral,Private Communication Platforms
81,31,Male,Telegram,50,2,18,6,12,Sadness,negative,Private Communication Platforms
82,24,Non-binary,Snapchat,85,3,30,13,18,Happiness,positive,Private Communication Platforms
83,34,Female,Instagram,120,5,55,19,25,Anger,negative,Social Networking Platforms
84,22,Male,Twitter,70,1,20,5,22,Neutral,neutral,Hybrid Platforms
85,29,Non-binary,Facebook,75,2,18,8,20,Boredom,neutral,Social Networking Platforms
86,28,Female,Whatsapp,100,4,35,12,26,Anxiety,negative,Private Communication Platforms
87,31,Male,Telegram,85,3,40,15,28,Sadness,negative,Private Communication Platforms
88,21,Non-binary,Snapchat,60,1,15,5,12,Neutral,neutral,Private Communication Platforms
89,25,Female,Instagram,170,6,78,22,33,Happiness,positive,Social Networking Platforms
90,30,Male,Twitter,70,2,28,10,20,Anxiety,negative,Hybrid Platforms
91,27,Non-binary,Facebook,50,1,8,2,10,Boredom,neutral,Social Networking Platforms
92,32,Female,Whatsapp,105,4,50,18,25,Anger,negative,Private Communication Platforms
93,24,Male,Telegram,75,3,33,13,22,Neutral,neutral,Private Communication Platforms
94,29,Female,Snapchat,95,2,20,7,28,Sadness,negative,Private Communication Platforms
95,26,Male,Instagram,150,5,65,20,30,Anxiety,negative,Social Networking Platforms
96,33,Non-binary,Twitter,85,4,30,13,18,Boredom,neutral,Hybrid Platforms
97,22,Female,Facebook,70,1,12,5,10,Neutral,neutral,Social Networking Platforms
98,35,Male,Whatsapp,110,3,45,20,25,Happiness,positive,Private Communication Platforms
99,28,Non-binary,Telegram,60,2,15,6,18,Anger,negative,Private Communication Platforms
100,27,Female,Snapchat,120,4,38,13,22,Neutral,neutral,Private Communication Platforms
101,25,Female,Instagram,120,5,50,20,25,Happiness,positive,Social Networking Platforms
102,30,Male,Twitter,90,4,30,20,22,Anger,negative,Hybrid Platforms
103,22,Non-binary,Facebook,60,2,20,10,15,Neutral,neutral,Social Networking Platforms
104,28,Female,Instagram,200,8,110,40,45,Anxiety,negative,Social Networking Platforms
105,33,Male,LinkedIn,45,1,10,5,12,Boredom,neutral,Hybrid Platforms
106,21,Male,Instagram,150,5,65,25,30,Happiness,positive,Social Networking Platforms
107,27,Female,Twitter,85,3,40,18,20,Anger,negative,Hybrid Platforms
108,24,Non-binary,Facebook,110,6,35,16,25,Sadness,negative,Social Networking Platforms
109,29,Female,LinkedIn,55,2,15,5,10,Neutral,neutral,Hybrid Platforms
110,31,Male,Instagram,170,7,90,35,40,Happiness,positive,Social Networking Platforms
111,23,Female,Twitter,75,4,45,20,25,Anxiety,negative,Hybrid Platforms
112,26,Non-binary,Facebook,95,3,30,14,18,Sadness,negative,Social Networking Platforms
113,34,Male,LinkedIn,65,1,14,6,15,Boredom,neutral,Hybrid Platforms
114,22,Female,Instagram,180,8,100,38,45,Happiness,positive,Social Networking Platforms
115,28,Male,Twitter,100,6,50,30,29,Anger,negative,Hybrid Platforms
116,21,Non-binary,Facebook,40,1,10,4,12,Neutral,neutral,Social Networking Platforms
117,35,Female,Instagram,125,5,65,22,28,Anxiety,negative,Social Networking Platforms
118,27,Male,Twitter,90,3,40,16,24,Sadness,negative,Hybrid Platforms
119,23,Non-binary,LinkedIn,50,1,12,6,12,Neutral,neutral,Hybrid Platforms
120,32,Female,Instagram,140,6,75,28,30,Happiness,positive,Social Networking Platforms
121,26,Male,Facebook,75,2,30,14,20,Anxiety,negative,Social Networking Platforms
122,24,Female,Twitter,105,4,35,20,23,Anger,negative,Hybrid Platforms
123,29,Male,LinkedIn,60,2,17,8,15,Boredom,neutral,Hybrid Platforms
124,33,Non-binary,Instagram,190,8,105,36,50,Happiness,positive,Social Networking Platforms
125,22,Female,Twitter,70,3,25,16,15,Sadness,negative,Hybrid Platforms
126,31,Male,Facebook,80,2,20,10,20,Neutral,neutral,Social Networking Platforms
127,27,Non-binary,LinkedIn,55,1,12,5,11,Anxiety,negative,Hybrid Platforms
128,25,Female,Instagram,160,6,85,26,30,Happiness,positive,Social Networking Platforms
129,30,Male,Twitter,90,4,43,19,24,Anger,negative,Hybrid Platforms
130,26,Non-binary,Facebook,45,1,8,4,12,Sadness,negative,Social Networking Platforms
131,34,Female,LinkedIn,65,2,17,5,14,Boredom,neutral,Hybrid Platforms
132,28,Male,Instagram,145,7,80,30,35,Happiness,positive,Social Networking Platforms
133,23,Non-binary,Twitter,70,3,30,14,18,Neutral,neutral,Hybrid Platforms
134,21,Female,Instagram,130,6,95,22,28,Sadness,negative,Social Networking Platforms
135,29,Male,Facebook,65,2,27,11,22,Anxiety,negative,Social Networking Platforms
136,24,Non-binary,LinkedIn,55,1,11,6,11,Boredom,neutral,Hybrid Platforms
137,33,Female,Instagram,170,7,95,30,38,Happiness,positive,Social Networking Platforms
138,27,Male,Twitter,85,4,45,18,24,Anger,negative,Hybrid Platforms
139,22,Female,Instagram,115,3,60,17,30,Neutral,neutral,Social Networking Platforms
140,28,Non-binary,Facebook,100,2,22,12,25,Anxiety,negative,Social Networking Platforms
141,31,Male,LinkedIn,45,1,9,4,10,Sadness,negative,Hybrid Platforms
142,25,Female,Instagram,150,6,90,26,30,Happiness,positive,Social Networking Platforms
143,29,Male,Twitter,95,4,50,22,22,Anger,negative,Hybrid Platforms
144,23,Non-binary,Facebook,105,2,25,12,18,Neutral,neutral,Social Networking Platforms
145,35,Female,LinkedIn,60,1,15,7,14,Boredom,neutral,Hybrid Platforms
146,30,Male,Instagram,175,7,100,33,38,Happiness,positive,Social Networking Platforms
147,21,Female,Twitter,90,3,37,14,20,Sadness,negative,Hybrid Platforms
148,26,Non-binary,Facebook,75,2,30,12,18,Anxiety,negative,Social Networking Platforms
149,32,Male,Instagram,130,5,80,28,31,Neutral,neutral,Social Networking Platforms
150,28,Female,LinkedIn,55,1,12,6,10,Boredom,neutral,Hybrid Platforms
151,27,Male,Instagram,165,6,85,30,28,Happiness,positive,Social Networking Platforms
152,24,Female,Twitter,75,3,33,18,19,Anger,negative,Hybrid Platforms
153,29,Non-binary,Facebook,85,2,27,9,20,Neutral,neutral,Social Networking Platforms
154,33,Female,Instagram,145,4,65,23,35,Sadness,negative,Social Networking Platforms
155,31,Male,LinkedIn,60,1,15,7,17,Anxiety,negative,Hybrid Platforms
156,22,Female,Whatsapp,70,2,42,10,21,Anxiety,negative,Private Communication Platforms
157,25,Male,Telegram,90,3,22,11,22,Boredom,neutral,Private Communication Platforms
158,29,Non-binary,Snapchat,50,2,18,7,18,Sadness,negative,Private Communication Platforms
159,28,Female,Twitter,95,4,48,22,25,Happiness,positive,Hybrid Platforms
160,27,Male,Facebook,60,1,12,5,15,Boredom,neutral,Social Networking Platforms
161,30,Female,Instagram,175,6,72,30,33,Happiness,positive,Social Networking Platforms
162,23,Male,Whatsapp,70,3,22,10,18,Anger,negative,Private Communication Platforms
163,34,Non-binary,Telegram,80,2,21,8,20,Neutral,neutral,Private Communication Platforms
164,26,Female,Snapchat,120,4,55,18,30,Anxiety,negative,Private Communication Platforms
165,25,Male,Twitter,90,6,42,14,26,Sadness,negative,Hybrid Platforms
166,29,Non-binary,Facebook,60,1,12,4,12,Boredom,neutral,Social Networking Platforms
167,28,Male,Instagram,165,5,78,23,35,Happiness,positive,Social Networking Platforms
168,31,Female,Whatsapp,65,2,27,10,20,Neutral,neutral,Private Communication Platforms
169,27,Male,Telegram,105,3,48,20,28,Anxiety,negative,Private Communication Platforms
170,22,Non-binary,Snapchat,75,2,21,8,20,Sadness,negative,Private Communication Platforms
171,24,Female,Instagram,140,4,65,22,30,Happiness,positive,Social Networking Platforms
172,35,Male,Twitter,70,1,13,8,10,Boredom,neutral,Hybrid Platforms
173,21,Non-binary,Facebook,55,3,17,7,12,Neutral,neutral,Social Networking Platforms
174,29,Female,Whatsapp,90,2,24,12,22,Anger,negative,Private Communication Platforms
175,25,Male,Telegram,80,4,30,13,25,Neutral,neutral,Private Communication Platforms
176,28,Non-binary,Snapchat,115,3,38,18,27,Anxiety,negative,Private Communication Platforms
177,32,Female,Instagram,155,6,75,25,38,Happiness,positive,Social Networking Platforms
178,26,Male,Twitter,75,2,23,12,18,Sadness,negative,Hybrid Platforms
179,33,Non-binary,Facebook,65,1,13,7,14,Anxiety,negative,Social Networking Platforms
180,27,Female,Whatsapp,90,4,37,18,20,Neutral,neutral,Private Communication Platforms
181,31,Male,Telegram,50,2,20,10,12,Sadness,negative,Private Communication Platforms
182,24,Non-binary,Snapchat,85,3,33,20,18,Happiness,positive,Private Communication Platforms
183,34,Female,Instagram,120,5,60,25,25,Anger,negative,Social Networking Platforms
184,22,Male,Twitter,70,1,22,7,22,Neutral,neutral,Hybrid Platforms
185,29,Non-binary,Facebook,75,2,20,8,20,Boredom,neutral,Social Networking Platforms
186,28,Female,Whatsapp,100,4,37,14,26,Anxiety,negative,Private Communication Platforms
187,31,Male,Telegram,85,3,45,20,28,Sadness,negative,Private Communication Platforms
188,21,Non-binary,Snapchat,60,1,18,7,12,Neutral,neutral,Private Communication Platforms
189,25,Female,Instagram,170,6,83,30,33,Happiness,positive,Social Networking Platforms
190,30,Male,Twitter,70,2,30,12,20,Anxiety,negative,Hybrid Platforms
191,27,Non-binary,Facebook,50,1,10,4,10,Boredom,neutral,Social Networking Platforms
192,32,Female,Whatsapp,105,4,55,25,25,Anger,negative,Private Communication Platforms
193,24,Male,Telegram,75,3,37,16,22,Neutral,neutral,Private Communication Platforms
194,29,Female,Snapchat,95,2,23,10,28,Sadness,negative,Private Communication Platforms
195,26,Male,Instagram,150,5,70,25,30,Anxiety,negative,Social Networking Platforms
196,33,Non-binary,Twitter,85,4,35,18,18,Boredom,neutral,Hybrid Platforms
197,22,Female,Facebook,70,1,14,6,10,Neutral,neutral,Social Networking Platforms
198,35,Male,Whatsapp,110,3,50,25,25,Happiness,positive,Private Communication Platforms
199,28,Non-binary,Telegram,60,2,18,8,18,Anger,negative,Private Communication Platforms
200,27,Female,Snapchat,120,4,40,18,22,Neutral,neutral,Private Communication Platforms
201,25,Female,Instagram,120,5,50,20,25,Happiness,positive,Social Networking Platforms
202,30,Male,Twitter,90,4,30,20,22,Anger,negative,Hybrid Platforms
203,22,Non-binary,Facebook,60,2,20,10,15,Neutral,neutral,Social Networking Platforms
204,28,Female,Instagram,200,8,110,40,45,Anxiety,negative,Social Networking Platforms
205,33,Male,LinkedIn,45,1,10,5,12,Boredom,neutral,Hybrid Platforms
206,21,Male,Instagram,150,5,65,25,30,Happiness,positive,Social Networking Platforms
207,27,Female,Twitter,85,3,40,18,20,Anger,negative,Hybrid Platforms
208,24,Non-binary,Facebook,110,6,35,16,25,Sadness,negative,Social Networking Platforms
209,29,Female,LinkedIn,55,2,15,5,10,Neutral,neutral,Hybrid Platforms
210,31,Male,Instagram,170,7,90,35,40,Happiness,positive,Social Networking Platforms
211,23,Female,Twitter,75,4,45,20,25,Anxiety,negative,Hybrid Platforms
212,26,Non-binary,Facebook,95,3,30,14,18,Sadness,negative,Social Networking Platforms
213,34,Male,LinkedIn,65,1,14,6,15,Boredom,neutral,Hybrid Platforms
214,22,Female,Instagram,180,8,100,38,45,Happiness,positive,Social Networking Platforms
215,28,Male,Twitter,100,6,50,30,29,Anger,negative,Hybrid Platforms
216,21,Non-binary,Facebook,40,1,10,4,12,Neutral,neutral,Social Networking Platforms
217,35,Female,Instagram,125,5,65,22,28,Anxiety,negative,Social Networking Platforms
218,27,Male,Twitter,90,3,40,16,24,Sadness,negative,Hybrid Platforms
219,23,Non-binary,LinkedIn,50,1,12,6,12,Neutral,neutral,Hybrid Platforms
220,32,Female,Instagram,140,6,75,28,30,Happiness,positive,Social Networking Platforms
221,26,Male,Facebook,75,2,30,14,20,Anxiety,negative,Social Networking Platforms
222,24,Female,Twitter,105,4,35,20,23,Anger,negative,Hybrid Platforms
223,29,Male,LinkedIn,60,2,17,8,15,Boredom,neutral,Hybrid Platforms
224,33,Non-binary,Instagram,190,8,105,36,50,Happiness,positive,Social Networking Platforms
225,22,Female,Twitter,70,3,25,16,15,Sadness,negative,Hybrid Platforms
226,31,Male,Facebook,80,2,20,10,20,Neutral,neutral,Social Networking Platforms
227,27,Non-binary,LinkedIn,55,1,12,5,11,Anxiety,negative,Hybrid Platforms
228,25,Female,Instagram,160,6,85,26,30,Happiness,positive,Social Networking Platforms
229,30,Male,Twitter,90,4,43,19,24,Anger,negative,Hybrid Platforms
230,26,Non-binary,Facebook,45,1,8,4,12,Sadness,negative,Social Networking Platforms
231,34,Female,LinkedIn,65,2,17,5,14,Boredom,neutral,Hybrid Platforms
232,28,Male,Instagram,145,7,80,30,35,Happiness,positive,Social Networking Platforms
233,23,Non-binary,Twitter,70,3,30,14,18,Neutral,neutral,Hybrid Platforms
234,21,Female,Instagram,130,6,95,22,28,Sadness,negative,Social Networking Platforms
235,29,Male,Facebook,65,2,27,11,22,Anxiety,negative,Social Networking Platforms
236,24,Non-binary,LinkedIn,55,1,11,6,11,Boredom,neutral,Hybrid Platforms
237,33,Female,Instagram,170,7,95,30,38,Happiness,positive,Social Networking Platforms
238,27,Male,Twitter,85,4,45,18,24,Anger,negative,Hybrid Platforms
239,22,Female,Instagram,115,3,60,17,30,Neutral,neutral,Social Networking Platforms
240,28,Non-binary,Facebook,100,2,22,12,25,Anxiety,negative,Social Networking Platforms
241,31,Male,LinkedIn,45,1,9,4,10,Sadness,negative,Hybrid Platforms
242,25,Female,Instagram,150,6,90,26,30,Happiness,positive,Social Networking Platforms
243,29,Male,Twitter,95,4,50,22,22,Anger,negative,Hybrid Platforms
244,23,Non-binary,Facebook,105,2,25,12,18,Neutral,neutral,Social Networking Platforms
245,35,Female,LinkedIn,60,1,15,7,14,Boredom,neutral,Hybrid Platforms
246,30,Male,Instagram,175,7,100,33,38,Happiness,positive,Social Networking Platforms
247,21,Female,Twitter,90,3,37,14,20,Sadness,negative,Hybrid Platforms
248,26,Non-binary,Facebook,75,2,30,12,18,Anxiety,negative,Social Networking Platforms
249,32,Male,Instagram,130,5,80,28,31,Neutral,neutral,Social Networking Platforms
250,28,Female,LinkedIn,55,1,12,6,10,Boredom,neutral,Hybrid Platforms
